rank,bookId,title,series,numberOfSeries,author,authorLastFirst,description,language,genres,characters,setting,coverImg,bookFormat,edition,pages,publisher,publishedYear,firstPublishYear,awards,rating,numRatings,ISBN,ISBN13
37,13152,The Angel Experiment,Maximum Ride ,#1,James Patterson,"Patterson, James","Six unforgettable kids ""with no families, no homes"" are running for their lives. Max Ride and her best friends have the ability to fly. And that's just the beginning of their amazing powers. But they don't know where they come from, who's hunting them, why they are different from all other humans... and if they're meant to save mankind — or destroy it.",English,"Young Adult, Fantasy, Science Fiction, Fiction, Adventure, Paranormal, Teen, Action, Mystery, Urban Fantasy","Maximum Ride, Jeb Batchelder, Iggy, Nudge, Gasman, Angel (Maximum Ride), Erasers, Fang, Ari","Denver, Colorado (United States), California (United States), New York State (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339277875l/13152.jpg,Mass Market Paperback,,445,Grand Central Publishing,2006,2005,"Lincoln Award Nominee (2008), Missouri Gateway Readers Award Nominee (2008)",4.07,205771,0446617792,9780446617796
38,7488244,Unearthly,Unearthly ,#1,Cynthia Hand,"Hand, Cynthia","In the beginning, there's a boy standing in the trees...Clara Gardner has recently learned that she's part angel. Having angel blood run through her veins not only makes her smarter, stronger, and faster than humans (a word, she realizes, that no longer applies to her), but it means she has a purpose, something she was put on this earth to do. Figuring out what that is, though, isn't easy.Her visions of a raging forest fire and an alluring stranger lead her to a new school in a new town. When she meets Christian, who turns out to be the boy of her dreams (literally), everything seems to fall into place and out of place at the same time. Because there's another guy, Tucker, who appeals to Clara's less angelic side.As Clara tries to find her way in a world she no longer understands, she encounters unseen dangers and choices she never thought she'd have to make between honesty and deceit, love and duty, good and evil. When the fire from her vision finally ignites, will Clara be ready to face her destiny?Unearthly is a moving tale of love and fate, and the struggle between following the rules and following your heart.",English,"Young Adult, Fantasy, Angels, Paranormal, Romance, Paranormal Romance, Supernatural, Urban Fantasy, Fiction, Young Adult Fantasy","Clara Gardner, Jeffrey Gardner, Christian Prescott, Wendy Avery, Tucker Avery, Kay Patterson, Angela Zerbino, Samjeeza (Sam)","Mountain View, California (United States), Jackson Hole, Wyoming (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1324782984l/7488244.jpg,Hardcover,,435,HarperTeen,2011,2011,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2011),4.02,121427,0061996165,9780061996160
39,11594257,Under the Never Sky,Under the Never Sky ,#1,Veronica Rossi,"Rossi, Veronica","Aria has lived her whole life in the protected dome of Reverie. Her entire world confined to its spaces, she's never thought to dream of what lies beyond its doors. So when her mother goes missing, Aria knows her chances of surviving in the outer wasteland long enough to find her are slim.Then Aria meets an outsider named Perry. He's searching for someone too. He's also wild - a savage - but might be her best hope at staying alive.If they can survive, they are each other's best hope for finding answers.",English,"Young Adult, Dystopia, Romance, Fantasy, Science Fiction, Fiction, Post Apocalyptic, Adventure, Paranormal, Teen","Aria, Peregrine ""Perry"", Roar, Cinder",Reverie,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356591725l/11594257.jpg,Paperback,UK Edition,374,Atom,2012,2011,"Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012)",3.99,108446,1907411054,9781907411052
40,10194157,Shadow and Bone,The Shadow and Bone Trilogy ,#1,Leigh Bardugo,"Bardugo, Leigh","Surrounded by enemies, the once-great nation of Ravka has been torn in two by the Shadow Fold, a swath of near impenetrable darkness crawling with monsters who feast on human flesh. Now its fate may rest on the shoulders of one lonely refugee.Alina Starkov has never been good at anything. But when her regiment is attacked on the Fold and her best friend is brutally injured, Alina reveals a dormant power that saves his life—a power that could be the key to setting her war-ravaged country free. Wrenched from everything she knows, Alina is whisked away to the royal court to be trained as a member of the Grisha, the magical elite led by the mysterious Darkling.Yet nothing in this lavish world is what it seems. With darkness looming and an entire kingdom depending on her untamed power, Alina will have to confront the secrets of the Grisha . . . and the secrets of her heart.",English,"Fantasy, Young Adult, Romance, Magic, Fiction, Young Adult Fantasy, High Fantasy, Paranormal, Adventure, Audiobook","Alina Starkov, Malyen Oretsev, Darkling, Genya Safin, Zoya Nazyalensky",Ravka ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339533695l/10194157.jpg,Hardcover,,358,Henry Holt and Company,2012,2012,"South Carolina Book Award Nominee for Junior Book (2015), ""Pennsylvania Young Readers Choice Award Nominee for Young Adults (2014)"", Rhode Island Teen Book Award Nominee (2015), ""Dorothy Canfield Fisher Childrens Book Award Nominee (2014)"", Lincoln Award Nominee (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012), Prix Elbakin.net for Meilleur roman fantasy traduit Jeunesse (2013)",4,306949,,
41,12294652,My Life Next Door,,,Huntley Fitzpatrick,"Fitzpatrick, Huntley","""One thing my mother never knew, and would disapprove of most of all, was that I watched the Garretts. All the time."" The Garretts are everything the Reeds are not. Loud, messy, affectionate. And every day from her rooftop perch, Samantha Reed wishes she was one of them . . . until one summer evening, Jase Garrett climbs up next to her and changes everything.As the two fall fiercely for each other, stumbling through the awkwardness and awesomeness of first love, Jase's family embraces Samantha - even as she keeps him a secret from her own. Then something unthinkable happens, and the bottom drops out of Samantha's world. She's suddenly faced with an impossible decision. Which perfect family will save her? Or is it time she saved herself?A transporting debut about family, friendship, first romance, and how to be true to one person you love without betraying another.",English,"Young Adult, Romance, Contemporary, Fiction, Chick Lit, Realistic Fiction, Young Adult Contemporary, Contemporary Romance, Young Adult Romance, High School","Samantha Reed, Jase Garrett",Connecticut (United States),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394240144l/12294652.jpg,Hardcover,,394,Dial Books For Young Readers,2012,2012,"RITA Award by Romance Writers of America Nominee for First Book (2013), Goodreads Choice Award Nominee for Young Adult Fiction (2012)",3.99,133812,0803736991,9780803736993
42,17675462,The Raven Boys,The Raven Cycle ,#1,Maggie Stiefvater,"Stiefvater, Maggie","""There are only two reasons a non-seer would see a spirit on St. Mark's Eve"",� Neeve said. ""Either you're his true love . . . or you killed him.""�It is freezing in the churchyard, even before the dead arrive.Every year, Blue Sargent stands next to her clairvoyant mother as the soon-to-be dead walk past. Blue herself never sees them—not until this year, when a boy emerges from the dark and speaks directly to her.His name is Gansey, and Blue soon discovers that he is a rich student at Aglionby, the local private school. Blue has a policy of staying away from Aglionby boys. Known as Raven Boys, they can only mean trouble.But Blue is drawn to Gansey, in a way she can;t entirely explain. He has it all ""family money, good looks, devoted friends"" but he's looking for much more than that. He is on a quest that has encompassed three other Raven Boys: Adam, the scholarship student who resents all the privilege around him; Ronan, the fierce soul who ranges from anger to despair; and Noah, the taciturn watcher of the four, who notices many things but says very little.For as long as she can remember, Blue has been warned that she will cause her true love to die. She never thought this would be a problem. But now, as her life becomes caught up in the strange and sinister world of the Raven Boys, she's not so sure anymore.From Maggie Stiefvater, the bestselling and acclaimed author of the Shiver trilogy and The Scorpio Races, comes a spellbinding new series where the inevitability of death and the nature of love lead us to a place we've never been before.",English,"Fantasy, Young Adult, Paranormal, Romance, Fiction, Magic, Urban Fantasy, Audiobook, Supernatural, Young Adult Fantasy","Blue Sargent, Richard ""Dick"" Campbell Gansey III, Adam Parrish, Ronan Lynch, Noah (The Raven Cycle)","Henrietta, Virginia (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573508485l/17675462._SY475_.jpg,Hardcover,,409,Scholastic Press,2012,2012,"Bram Stoker Award Nominee for Best Young Adult Novel (2012), Mythopoeic Fantasy Award Nominee for Adult Literature (2017), Rhode Island Teen Book Award Nominee (2015), Milwaukee County Teen Book Award Nominee (2014), The Inky Awards for Silver Inky (2013), Lincoln Award Nominee (2015), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012), Carnegie Medal Nominee (2014), The Inky Awards Shortlist for Silver Inky (2013), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2013)",4.05,269946,0545424925,9780545424929
43,17878931,Red Queen,Red Queen ,#1,Victoria Aveyard,"Aveyard, Victoria","This is a world divided by blood - red or silver. The Reds are commoners, ruled by a Silver elite in possession of god-like superpowers. And to Mare Barrow, a seventeen-year-old Red girl from the poverty-stricken Stilts, it seems like nothing will ever change. That is until she finds herself working in the Silver Palace. Here, surrounded by the people she hates the most, Mare discovers that, despite her red blood, she possesses a deadly power of her own. One that threatens to destroy the balance of power. Fearful of Mare's potential, the Silvers hide her in plain view, declaring her a long-lost Silver princess, now engaged to a Silver prince. Despite knowing that one misstep would mean her death, Mare works silently to help the Red Guard, a militant resistance group, and bring down the Silver regime. But this is a world of betrayal and lies, and Mare has entered a dangerous dance—Reds against Silvers, prince against prince, and Mare against her own heart.",English,"Fantasy, Young Adult, Dystopia, Romance, Fiction, Young Adult Fantasy, Magic, Science Fiction, Audiobook, Paranormal","Kilorn Warren, Gisa Barrow, Tiberias Calore ""Cal"" VII, Mare Molly Barrow, Maven Calore, Evangeline Samos, Diana Farley, Tiberias Calore VI, Elara Merandus, Julian Jacos, Lucas Samos",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449778912l/22328546._SY475_.jpg,Hardcover,,383,HarperTeen,2015,2015,"Buxtehuder Bulle (2015), South Carolina Book Award for Young Adult (2017), California Young Readers Medal for Young Adult (2017), Lincoln Award (2017), Missouri Truman Readers Award Nominee (2018), Goodreads Choice Award for Debut Goodreads Author, and Nominee for Young Adult Fantasy & Science Fiction (2015)",4.04,565018,1409151174,9781409151173
44,20820994,I'll Give You the Sun,,,Jandy Nelson,"Nelson, Jandy","""We were all heading for each other on a collision course, no matter what. Maybe some people are just meant to be in the same story."" At first, Jude and her twin brother Noah, are inseparable. Noah draws constantly and is falling in love with the charismatic boy next door, while daredevil Jude wears red-red lipstick, cliff-dives, and does all the talking for both of them. Years later, they are barely speaking. Something has happened to change the twins in different yet equally devastating ways . . . but then Jude meets an intriguing, irresistible boy and a mysterious new mentor. The early years are Noah's to tell; the later years are Jude's. But they each have only half the story, and if they can only find their way back to one another, they'll have a chance to remake their world. This radiant, award-winning novel from the acclaimed author of The Sky Is Everywhere will leave you breathless and teary and laughing—often all at once.Printz Award Winner Stonewall Honor Book.",English,"Young Adult, Contemporary, LGBT, Romance, Fiction, Realistic Fiction, Queer, Coming Of Age, Young Adult Contemporary, Family","Jude Sweetwine, Noah Sweetwine, Dianna Sweetwine, Benjamin Sweetwine, Grandma Sweetwine, Guillermo Garcia, Brian Connelly, Oscar Ralph",California (United States),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451382614l/20820994._SY475_.jpg,Hardcover,,371,Dial Books,2014,2014,"Stonewall Book Award Nominee for Childrens and Young Adult Literature (2015), Georgia Peach Book Award Nominee for Honor book (2015), Josette Frank Award for Younger Readers (2015), Michael L. Printz Award (2015), ""Pennsylvania Young Readers Choice Award Nominee for Young Adults (2016)"", Milwaukee County Teen Book Award Nominee (2016), The Inky Awards for Silver Inky (2016), Lincoln Award Nominee (2016), Goodreads Choice Award Nominee for Young Adult Fiction (2014), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2015)",4.14,254493,0803734964,9780803734968
45,270730,Crank,Crank ,#1,Ellen Hopkins,"Hopkins, Ellen","In Crank, Ellen Hopkins chronicles the turbulent and often disturbing relationship between Kristina, a character based on her own daughter, and the ""monster,"" the highly addictive drug crystal meth, or ""crank."" Kristina is introduced to the drug while visiting her largely absent and ne'er-do-well father. While under the influence of the monster, Kristina discovers her sexy alter-ego, Bree: ""there is no perfect daughter, / no gifted high school junior, / no Kristina Georgia Snow. / There is only Bree."" Bree will do all the things good girl Kristina won't, including attracting the attention of dangerous boys who can provide her with a steady flow of crank.",English,"Young Adult, Poetry, Fiction, Contemporary, Realistic Fiction, Teen, Mental Health, Romance, High School, Abuse",Kristina Snow,"United States of America, Albuquerque, New Mexico (United States), Reno, Nevada (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388192181l/270730.jpg,Paperback,,537,Margaret K. McElderry Books,2004,2004,"Soaring Eagle Book Award (2008), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2011), Lincoln Award (2009), Goldener Lufti (2012), Green Mountain Book Award (2009), Missouri Gateway Readers Award (2007)",4.15,125539,0689865198,9780689865190
46,9680718,Half-Blood,Covenant ,#1,Jennifer L. Armentrout,"Armentrout, Jennifer L.","The Hematoi descend from the unions of gods and mortals, and the children of two Hematoi pure bloods have godlike powers. Children of Hematoi and mortals--well, not so much. Half-bloods only have two options: become trained Sentinels who hunt and kill daimons or become servants in the homes of the pures.Seventeen-year-old Alexandria would rather risk her life fighting than waste it scrubbing toilets, but she may end up slumming it anyway. There are several rules that students at the Covenant must follow. Alex has problems with them all, but especially rule #1:Relationships between pures and halfs are forbidden. Unfortunately, she's crushing hard on the totally hot pure-blood Aiden. But falling for Aiden isn't her biggest problem--staying alive long enough to graduate the Covenant and become a Sentinel is.If she fails in her duty, she faces a future worse than death or slavery: being turned into a daimon, and being hunted by Aiden. And that would kind of suck.",English,"Fantasy, Young Adult, Paranormal, Romance, Mythology, Paranormal Romance, Urban Fantasy, Supernatural, Greek Mythology, Magic","Leon (Covenant Series), Caleb (Covenant Series), Aiden St. Delphi, Deacon St. Delphi, Alexandria ""Alex"" Andros, Seth (Covenant Series)",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311865840l/9680718.jpg,Paperback,,281,Spencer Hill Press,2011,2011,,4.13,81206,0983157200,9780983157205
47,11808950,Sweet Evil,Sweet ,#1,Wendy Higgins,"Higgins, Wendy","Embrace the ForbiddenWhat if there were teens whose lives literally depended on being bad influences?This is the reality for sons and daughters of fallen angels.Tenderhearted Southern girl Anna Whitt was born with the sixth sense to see and feel emotions of other people. She's aware of a struggle within herself, an inexplicable pull toward danger, but it isn't until she turns sixteen and meets the alluring Kaidan Rowe that she discovers her terrifying heritage and her willpower is put to the test. He's the boy your daddy warned you about. If only someone had warned Anna.Forced to face her destiny, will Anna embrace her halo or her horns?",English,"Young Adult, Paranormal, Fantasy, Romance, Angels, Demons, Paranormal Romance, Supernatural, Urban Fantasy, Fiction","Anna (Wendy Higgins), Kaidan Rowe","Georgia (United States), Alabama (United States), New Mexico (United States), California (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337613719l/11808950.jpg,Paperback,,447,HarperTeen,2012,2012,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012),4.09,71729,0062085611,9780062085610
48,7402393,Nightshade,Nightshade ,#1,Andrea Cremer,"Cremer, Andrea","Calla Tor has always known her destiny: After graduating from the Mountain School, she'll be the mate of sexy alpha wolf Ren Laroche and fight with him, side by side, ruling their pack and guarding sacred sites for the Keepers. But when she violates her masters' laws by saving a beautiful human boy out for a hike, Calla begins to question her fate, her existence, and the very essence of the world she has known. By following her heart, she might lose everything- including her own life. Is forbidden love worth the ultimate sacrifice?""A finely-wrought compelling tale of romance and treachery...""-Cynthia Leitich Smith(New York Times bestselling author of Eternal and Tantalize)",English,"Young Adult, Fantasy, Paranormal, Werewolves, Romance, Paranormal Romance, Supernatural, Urban Fantasy, Magic, Fiction","Calla Tor, Ren Laroche, Ansel Tor, Bryn, Seamus Doran, Fey, Ariadne (Nightshade), Corrine Laroche, Neville, Mason, Logan Bane","Vail, Colorado (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333400218l/7402393.jpg,Hardcover,,452,Philomel,2010,2010,,4.02,79572,039925482X,9780399254826
49,17623975,Just One Day,Just One Day ,#1,Gayle Forman,"Forman, Gayle","A breathtaking journey toward self-discovery and true love, from the author of If I Stay.When sheltered American good girl Allyson ""LuLu"" Healey first meets laid-back Dutch actor Willem De Ruiter at an underground performance of Twelfth Night in England, there's an undeniable spark. After just one day together, that spark bursts into a flame, or so it seems to Allyson, until the following morning, when she wakes up after a whirlwind day in Paris to discover that Willem has left. Over the next year, Allyson embarks on a journey to come to terms with the narrow confines of her life, and through Shakespeare, travel, and a quest for her almost-true-love, to break free of those confines.",English,"Young Adult, Romance, Contemporary, Fiction, New Adult, Realistic Fiction, Travel, Chick Lit, Young Adult Contemporary, Teen","Allyson Healey, Willem De Ruiter","Paris (France), Amsterdam (Netherlands), Utrecht (Netherlands), United States of America, London, England",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368722144l/17623975._SY475_.jpg,Paperback,,369,Speak,2013,2013,Goodreads Choice Award Nominee for Young Adult Fiction (2013),4,77995,0142422959,9780142422953
50,9462812,Die for Me,Revenants ,#1,Amy Plum,"Plum, Amy","In the City of Lights, two star-crossed lovers battle a fate that is destined to tear them apart again and again for eternity.When Kate Mercier's parents die in a tragic car accident, she leaves her life--and memories--behind to live with her grandparents in Paris. For Kate, the only way to survive her pain is escaping into the world of books and Parisian art. Until she meets Vincent.Mysterious, charming, and devastatingly handsome, Vincent threatens to melt the ice around Kate's guarded heart with just his smile. As she begins to fall in love with Vincent, Kate discovers that he's a revenant--an undead being whose fate forces him to sacrifice himself over and over again to save the lives of others. Vincent and those like him are bound in a centuries-old war against a group of evil revenants who exist only to murder and betray. Kate soon realizes that if she follows her heart, she may never be safe again.",English,"Young Adult, Paranormal, Fantasy, Romance, Paranormal Romance, Zombies, Supernatural, Urban Fantasy, Fiction, Young Adult Paranormal","Kate Beaumont Mercier, Vincent Pierre Henri Delacroix, Georgia Frances Mercier, Jules Marchenoir, Ambrose Bates, Charlotte Violaine Lorieux, Charles Aurelien Lorieux, Gaspard Louis-Marie Tabard, Jean-Baptiste Alexandre Balthazar Grimod de La Reynière, Emilie Mercier, Antoine Mercier, Lucien Philippe Henri Poitevin",Paris (France),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358427893l/9462812.jpg,Hardcover,,341,HarperTeen,2011,2011,,3.98,53039,0062004018,9780062004017
51,12000020,Aristotle and Dante Discover the Secrets of the Universe,Aristotle and Dante ,#1,Benjamin Alire Sáenz,"Sáenz, Benjamin Alire","A lyrical novel about family and friendship from critically acclaimed author Benjamin Alire Sáenz. Aristotle is an angry teen with a brother in prison. Dante is a know-it-all who has an unusual way of looking at the world. When the two meet at the swimming pool, they seem to have nothing in common. But as the loners start spending time together, they discover that they share a special friendship--the kind that changes lives and lasts a lifetime. And it is through this friendship that Ari and Dante will learn the most important truths about themselves and the kind of people they want to be.",English,"Young Adult, LGBT, Contemporary, Romance, Fiction, Audiobook, Realistic Fiction, Queer, Coming Of Age, Young Adult Contemporary","Aristotle ""Ari"" Mendoza, Dante Quintana","El Paso, Texas (United States), Texas (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328320260l/12000020.jpg,Hardcover,,359,Simon & Schuster Books for Young Readers,2012,2012,"Stonewall Book Award for Childrens and Young Adult Literature (2013), Michael L. Printz Award Nominee (2016), ""Pennsylvania Young Readers Choice Award Nominee for Young Adults (2015)"", ""Lambda Literary Award for LGBT Childrens/Young Adult (2013)"", Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2015), Amelia Elizabeth Walden Award Nominee (2013), Lincoln Award Nominee (2016), Pura Belpré Award for Narrative (2013), Les Incorruptibles (2017)",4.33,259916,1442408928,9781442408920
52,10215349,The Immortal Rules,Blood of Eden ,#1,Julie Kagawa,"Kagawa, Julie","To survive in a ruined world, she must embrace the darknessAllison Sekemoto survives in the Fringe, the outermost circle of a walled-in city. By day, she and her crew scavenge for food. By night, any one of them could be eaten. Some days, all that drives Allie is her hatred of them—the vampires who keep humans as blood cattle. Until the night Allie herself dies and becomes one of the monsters.Forced to flee her city, Allie must pass for human as she joins a ragged group of pilgrims seeking a legend—a place that might have a cure for the disease that killed off most of civilization and created the rabids, the bloodthirsty creatures who threaten human and vampire alike. And soon Allie will have to decide what and who is worth dying for again.Enter Julie Kagawa's dark and twisted world as an unforgettable journey begins.",English,"Vampires, Young Adult, Fantasy, Paranormal, Dystopia, Romance, Urban Fantasy, Post Apocalyptic, Supernatural, Fiction","Allison Sekemoto, Stick, Kanin, Jackal, Zeke Crosse",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1323357921l/10215349.jpg,Hardcover,,485,Harlequin Teen,2012,2012,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012),4.08,65414,0373210515,9780373210510
53,9462795,Starcrossed,Starcrossed ,#1,Josephine Angelini,"Angelini, Josephine","How do you defy DESTINY?Helen Hamilton has spent her entire sixteen years trying to hide how different she is - no easy task on an island as small and sheltered as Nantucket. And it's getting harder. Nightmares of a desperate desert journey have Helen waking parched, only to find her sheets damaged by dirt and dust. At school she's haunted by hallucinations of three women weeping tears of blood... and when Helen first crosses paths with Lucas Delos, she has no way of knowing they're destined to play the leading roles in a tragedy the Fates insist on repeating throughout history.As Helen unlocks the secrets of her ancestry, she realizes that some myths are more than just legend. But even demigod powers might not be enough to defy the forces that are both drawing her and Lucas together - and trying to tear them apart.",English,"Fantasy, Young Adult, Mythology, Romance, Paranormal, Greek Mythology, Paranormal Romance, Supernatural, Urban Fantasy, Fiction","Helen Hamilton, Lucas Delos, Jerry Hamilton, Claire Aoki, Kate Rogers, Hector Delos, Jason Delos, Ariadne Delos, Cassandra Delos, Gretchen Clifford, Zach Brant, Matt Millis","Nantucket, Massachusetts (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358266716l/9462795.jpg,Hardcover,,487,HarperTeen,2011,2011,,4.05,64250,0062011995,9780062011992
54,11925514,Code Name Verity,Code Name Verity ,#1,Elizabeth Wein,"Wein, Elizabeth","Oct. 11th, 1943 - A British spy plane crashes in Nazi-occupied France. Its pilot and passenger are best friends. One of the girls has a chance at survival. The other has lost the game before it's barely begun. When ""Verity"" is arrested by the Gestapo, she's sure she doesn't stand a chance. As a secret agent captured in enemy territory, she's living a spy's worst nightmare. Her Nazi interrogators give her a simple choice: reveal her mission or face a grisly execution. As she intricately weaves her confession, Verity uncovers her past, how she became friends with the pilot Maddie, and why she left Maddie in the wrecked fuselage of their plane. On each new scrap of paper, Verity battles for her life, confronting her views on courage and failure and her desperate hope to make it home. But will trading her secrets be enough to save her from the enemy? Harrowing and beautifully written, Elizabeth Wein creates a visceral read of danger, resolve, and survival that shows just how far true friends will go to save each other. Code Name Verity is an outstanding novel that will stick with you long after the last page.",English,"Historical Fiction, Young Adult, Fiction, Historical, War, World War II, Audiobook, Teen, Mystery, Adventure","Hauptsturmfuhrer von Linden, Fraulein Engel, Julie, Maddie","England, Ormaie, France",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388161911l/11925514.jpg,Paperback,,452,Egmont Press,2012,2012,"""Agatha Award Nominee for Best Childrens/Young Adult Novel (2012)"", Edgar Award for Best Young Adult (2013), Michael L. Printz Award Nominee (2016), Rhode Island Teen Book Award Nominee (2014), Milwaukee County Teen Book Award Nominee (2013), Boston Globe-Horn Book Award Nominee for Fiction (2012), The Inky Awards Nominee for Silver Inky (2013), Lincoln Award Nominee (2015), ""Scottish Childrens Book Award Nominee for Older Readers (2012)"", North East Teenage Book Award Nominee (2012), Goodreads Choice Award Nominee for Young Adult Fiction (2012), Carnegie Medal Nominee (2013), The Inky Awards Shortlist for Silver Inky (2013)",4.03,96652,1405258217,9781405258210
55,19549841,Seraphina,Seraphina ,#1,Rachel Hartman,"Hartman, Rachel","In her New York Times bestselling and Morris Award-winning debut, Rachel Hartman introduces mathematical dragons in an alternative-medieval world to fantasy and science-fiction readers of all ages. Four decades of peace have done little to ease the mistrust between humans and dragons in the kingdom of Goredd. Folding themselves into human shape, dragons attend court as ambassadors, and lend their rational, mathematical minds to universities as scholars and teachers. As the treaty's anniversary draws near, however, tensions are high.Seraphina Dombegh has reason to fear both sides. An unusually gifted musician, she joins the court just as a member of the royal family is murdered—in suspiciously draconian fashion. Seraphina is drawn into the investigation, partnering with the captain of the Queen's Guard, the dangerously perceptive Prince Lucian Kiggs. While they begin to uncover hints of a sinister plot to destroy the peace, Seraphina struggles to protect her own secret, the secret behind her musical gift, one so terrible that its discovery could mean her very life.",English,"Fantasy, Young Adult, Dragons, Romance, Fiction, Young Adult Fantasy, High Fantasy, Adventure, Mystery, Magic","Seraphina Dombegh, Lucian Kiggs, Orma, Eskar, Claude Dombegh, Glisselda, Ardmagar Comonot",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387577872l/19549841.jpg,Hardcover,,499,Random House Books for Young Readers,2013,2012,"Locus Award Nominee for Best First Novel (2013), Sunburst Award for Young Adult (2013), William C. Morris YA Debut Award (2013), Rhode Island Teen Book Award Nominee (2014), Milwaukee County Teen Book Award Nominee (2013), The Inky Awards Nominee for Silver Inky (2014), Lincoln Award Nominee (2015), Andre Norton Award Nominee (2012), The Kitschies Nominee for Golden Tentacle (Debut) (2012), CYBILS Award for Fantasy & Science Fiction (Young Adult) (2012), Monica Hughes Award for Science Fiction and Fantasy (2013), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012), Carnegie Medal Nominee (2013), Sheila A. Egoff Childrens Literature Prize Nominee (2013), The Inky Awards Shortlist for Silver Inky (2014), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2015)",3.94,79798,,
56,270805,Impulse,Impulse ,#1,Ellen Hopkins,"Hopkins, Ellen","Sometimes you don't wake up. But if you happen to, you know things will never be the same.Three lives, three different paths to the same destination: Aspen Springs, a psychiatric hospital for those who have attempted the ultimate act—suicide.Vanessa is beautiful and smart, but her secrets keep her answering the call of the blade.Tony, after suffering a painful childhood, can only find peace through pills.And Conner, outwardly, has the perfect life. But dig a little deeper and find a boy who is in constant battle with his parents, his life, himself.In one instant each of these young people decided enough was enough. They grabbed the blade, the bottle, the gun—and tried to end it all. Now they have a second chance, and just maybe, with each other's help, they can find their way to a better life—but only if they're strong and can fight the demons that brought them here in the first place.",English,"Young Adult, Poetry, Fiction, Contemporary, Mental Health, Realistic Fiction, Mental Illness, Teen, Romance, Abuse","Tony Daniels, Connor Sykes, ""Vanessa OReilly""","United States of America, Arizona (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427002059l/270805.jpg,Hardcover,,666,Margaret K. McElderry Books,2007,2007,"Georgia Peach Book Award (2008), Lincoln Award Nominee (2013)",4.27,69645,1416903569,9781416903567
57,12425532,Of Poseidon,The Syrena Legacy ,#1,Anna Banks,"Banks, Anna","Galen is the prince of the Syrena, sent to land to find a girl he's heard can communicate with fish. Emma is on vacation at the beach. When she runs into Galen—literally, ouch!—both teens sense a connection. But it will take several encounters, including a deadly one with a shark, for Galen to be convinced of Emma's gifts. Now, if he can only convince Emma that she holds the key to his kingdom...Told from both Emma and Galen's points of view, here is a fish-out-of-water story that sparkles with intrigue, humor, and waves of romance.",English,"Fantasy, Young Adult, Romance, Mermaids, Paranormal, Mythology, Paranormal Romance, Fiction, Supernatural, Young Adult Fantasy","Emma McIntosh, Galen Forza, Rayna ""Samantha"" Forza, Rachel, Grom, Toraf, Dr. Milligan",New Jersey (United States),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327879889l/12425532.jpg,Hardcover,,324,Feiwel & Friends,2012,2012,Missouri Gateway Readers Award Nominee (2015),4.02,46401,1250003326,9781250003324
